MP name,Nature of membership,Start of term,End of term,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Specific,Common,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
Mausam Noor,Elected,18-May-09,In office,West Bengal,Maldaha Uttar,Indian National Congress,Female,Graduate,LL.B.; Educated at Calcutta University,32,3,0,3,72%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.8,0.8,136,72%
Meena Singh,Elected,18-May-09,In office,Bihar,Arrah,Janata Dal (United),Female,Graduate,B.A.; Educated at Banaras Hindu University (B.H.U.) ,50,21,0,328,87%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.8,0.5,236,87%
Meenakshi Natrajan,Elected,18-May-09,In office,Madhya Pradesh,Mandsour,Indian National Congress,Female,Post Graduate,"M.Sc., (Biochemistry), LL.B.; Educated at Holkar Science College, GACC Indore, DAVV University",39,14,0,132,86%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.5,0.1,174,83%
Meira Kumar,Elected,18-May-09,In office,Bihar,Sasaram,Indian National Congress,Female,Post Graduate,"M.A., LL.B, Advanced Diploma in Spanish; Educated at Indraprastha College and Miranda House, University of Delhi (Delhi) and Madrid (Spain) ",67,N/A,N/A,N/A,N/A,"As Speaker, this MP does not not sign the attendance register, ask questions, introduce private member bills, or participate in debates."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mekapati Rajamohan Reddy,Elected,15-Jun-12,In office,Andhra Pradesh,Nellore,Yuvajana Sramika Rythu Congress Party,Male,Graduate,"B.E.; Educated at Regional Engineering College, Warangal, Andhra Pradesh",68,4,0,207,59%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",22.2,0.5,183,77%,12.5,0.4,226,70%
Milind Murli Deora,Elected,18-May-09,In office,Maharashtra,Mumbai-South,Indian National Congress,Male,Graduate,"BBA (Bachelor of Science in Business Administration); Educated at Sydenham College, Mumbai and Boston University, USA",35,0,0,274,88%,"This MP was appointed a minister in July, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 25th March, 2011."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",15.8,0.4,119,77%,12.1,0.8,201,74%
Mirza Mehboob Beg,Elected,18-May-09,In office,Jammu and Kashmir,Anantnag,Jammu and Kashmir National Conference,Male,Graduate,M.B.B.S.; Educated at Srinagar Medical College,63,43,0,17,84%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,35.4,0,84,89%
Mithlesh Kumar,Elected,18-May-09,In office,Uttar Pradesh,Shahjahanpur,Samajwadi Party,Male,Graduate,"B.Sc.; Educated at Bareli College, (Uttar Pradesh) ",47,18,0,128,87%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,33.3,0.4,179,80%
Modugula Venugopala Reddy,Elected,18-May-09,In office,Andhra Pradesh,Narasaraopet,Telugu Desam Party,Male,Graduate,"B.Com., LL.B.; Educated at JKC College, Guntur, Reddy College, Guntur, ILS Law College, Pune",46,20,0,262,65%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,15.2,0.4,258,70%
Mohammed Azharuddin,Elected,18-May-09,In office,Uttar Pradesh,Moradabad,Indian National Congress,Male,Graduate,B.Com; Educated at Nizam College (Osmania University) ,49,2,0,5,76%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,33.3,0.4,179,80%
Mohan Jena,Elected,18-May-09,In office,Orissa,Jajpur,Biju Janata Dal,Male,Post Graduate,"M.A. (Sociology); Educated at Kendrapara College, Kendrapara and P.G.Deptt. of Sociology, Utkal University, Vani Vihar, Bhubaneswar, Orissa",55,21,2,42,74%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,27.4,0.6,281,76%
Mohinder Singh Kaypee,Elected,18-May-09,In office,Punjab,Jalandhar,Indian National Congress,Male,Graduate,"B.A., L.L.B.; Educated at Punjab University, Chandigarh",55,8,0,4,89%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,19,0.6,127,78%
Monazir Hassan,Elected,18-May-09,In office,Bihar,Begusarai,Janata Dal (United),Male,Doctorate,"M.A., Ph.D.; Educated at Bhagalpur, University and Bihar Unversity",55,8,0,23,86%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.8,0.5,236,87%
Mukul Balkrishna Wasnik,Elected,18-May-09,In office,Maharashtra,Ramtek,Indian National Congress,Male,Post Graduate,"M.A., M.B.A.; Educated at Mount Carmel Convent, SFS High School, Hislop College and Department of Business Management, Nagpur University, Nagpur, Maharashtra",52,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mulayam Singh Yadav,Elected,18-May-09,In office,Uttar Pradesh,Mainpuri,Samajwadi Party,Male,Post Graduate,"B.A., B.T., M.A. (Political Science); Educated at K.K. College, Etawah, A.K. College, Shikohabad and B.R. College, Agra University, Agra, Uttar Pradesh",72,94,0,0,85%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,33.3,0.4,179,80%
Munde Gopinathrao Pandurang,Elected,18-May-09,In office,Maharashtra,Beed,Bharatiya Janata Party,Male,Graduate,"B.Com., B.G.L.; Educated at Marathwada and Pune University",62,27,0,287,72%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,21.1,1.2,356,74%
Munisamy Thambidurai,Elected,18-May-09,In office,Tamil Nadu,Karur,All India Anna Dravida Munnetra Kazhagam,Male,Doctorate,"M.A., M.Phil., M.Litt., Ph.D.; Educated at Madras Christian College, Madras University, Chennai, Tamil Nadu",65,68,0,267,82%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.2,0.2,262,73%
Murarilal Singh,Elected,18-May-09,In office,Chhattisgarh,Surguja,Bharatiya Janata Party,Male,Inter/ Higher Secondary,,60,3,0,63,70%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,9.6,0.3,121,64%
Murli Manohar Joshi,Elected,18-May-09,In office,Uttar Pradesh,Varanasi,Bharatiya Janata Party,Male,Doctorate,"M.Sc. (Physics), D. Phil.; Educated at Allahabad University, Allahabad, Uttar Pradesh",78,26,0,443,86%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,33.3,0.4,179,80%
N Cheluvaraya Swamy @ Swamygowda,Elected,18-May-09,In office,Karnataka,Mandya,Janata Dal (Secular),Male,Diploma Course,"Diploma in Civil Engineering; Educated at Govt. Polytechnic, K. R. Pette, Karnataka",52,17,0,699,60%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,14.5,0.2,244,70%
N. Peethambara Kurup,Elected,18-May-09,In office,Kerala,Kollam,Indian National Congress,Male,Graduate,"B.A., LL.B.; Educated at Kerala University, Kerala",70,16,0,120,85%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,50.7,1.1,300,84%
N.Dharam Singh,Elected,18-May-09,In office,Karnataka,Bidar,Indian National Congress,Male,Post Graduate,"MA, LL.B.; Educated at Osmania University, Hyderabad",75,2,0,4,71%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,14.5,0.2,244,70%
N.S.V. Chitthan,Elected,18-May-09,In office,Tamil Nadu,Dindigul,Indian National Congress,Male,Graduate,"B.A. (Economics); Educated at Madurai College, Madurai Thiaganajar College, Madurai",78,44,2,314,92%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.2,0.2,262,73%
Nalin Kumar Kateel,Elected,18-May-09,In office,Karnataka,Dakshina Kannada,Bharatiya Janata Party,Male,Matric,"Educated at St. Philomeaia Higher School, Puttar, T.W. D.K. Distt. Karnataka",45,6,0,128,72%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,14.5,0.2,244,70%
Nama Nageswara Rao,Elected,18-May-09,In office,Andhra Pradesh,Khammam,Telugu Desam Party,Male,Inter/ Higher Secondary,,55,79,0,326,84%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,15.2,0.4,258,70%
Namo Narain Meena,Elected,18-May-09,In office,Rajasthan,Tonk-Sawai Madhopur,Indian National Congress,Male,Post Graduate,"M. A. (Geography); Educated at M.B. College, Udaipur, Rajasthan",68,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Narahari Mahato,Elected,18-May-09,In office,West Bengal,Purulia,All India Forward Bloc,Male,Post Graduate,"B.A. (Pass), M.A. (Pol. Sc., History, Bengali), B.Ed.; Educated at Burdwan University, West Bengal and Ranchi University, Jharkhand",56,49,0,491,71%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.8,0.8,136,72%
Naramalli Sivaprasad,Elected,18-May-09,In office,Andhra Pradesh,Chittoor,Telugu Desam Party,Male,Graduate,"M.B.B.S.; Educated at S.V. Medical College, Tirupati, Chittoor (Andhra Pradesh) ",61,5,0,12,57%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,15.2,0.4,258,70%
Naranbhai Kachhadia,Elected,18-May-09,In office,Gujarat,Amreli,Bharatiya Janata Party,Male,Under Matric,"Educated at Charkhadiya, Govt. of Primary School",57,66,0,537,94%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,30.1,1,276,79%
Narayan Singh Amlabe,Elected,18-May-09,In office,Madhya Pradesh,Rajgarh,Indian National Congress,Male,Inter/ Higher Secondary,"Educated at Madhya Pradesh Board, Bhopal",61,49,0,115,95%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.5,0.1,174,83%
Narendra Singh Tomar,Elected,18-May-09,In office,Madhya Pradesh,Morena,Bharatiya Janata Party,Male,Graduate,"Educated at Jiwaji University, Gwalior, Madhya Pradesh",55,8,0,170,70%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.5,0.1,174,83%
Natubhai Gomanbhai Patel,Elected,18-May-09,In office,Dadra and Nagar Haveli,Dadra and Nagar Haveli,Bharatiya Janata Party,Male,Under Matric,,40,2,0,33,48%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,2,0,33,48%
Naveen Jindal,Elected,18-May-09,In office,Haryana,Kurukshetra,Indian National Congress,Male,Post Graduate,"MBA, B.Com. (Hons.), Educated at University of Texas, Dallas, U.S.A.; Hansraj College, University of Delhi, Delhi",42,14,0,365,82%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,8.7,0.1,150,69%
Navjot Singh Sidhu,Elected,18-May-09,In office,Punjab,Amritsar,Bharatiya Janata Party,Male,Graduate,"B.A., LL.B.",48,3,0,99,28%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,19,0.6,127,78%
Neeraj Shekhar,Elected,18-May-09,In office,Uttar Pradesh,Ballia,Samajwadi Party,Male,Graduate,B.A. (Hons.); Educated at Modern School and Atmaram Sanatan College,43,26,0,557,93%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,33.3,0.4,179,80%
Nikhil Kumar Choudhary,Elected,18-May-09,In office,Bihar,Katihar,Bharatiya Janata Party,Male,Graduate,"B.Sc.; Eductaed at T.N.B. College, Bhagalpur, Bihar",66,20,0,68,86%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.8,0.5,236,87%
Nilesh Narayan Rane,Elected,18-May-09,In office,Maharashtra,Ratnagiri-Sindhudurg,Indian National Congress,Male,Doctorate,"Ph.d; Educated at Mumbai University, Maharashtra",31,8,0,390,73%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,21.1,1.2,356,74%
Ninong Ering,Elected,18-May-09,In office,Arunachal Pradesh,Arunachal East,Indian National Congress,Male,Graduate,"B.A.; Educated at J.N. College, Pasighat, Arunachal Pradesh",53,19,0,26,88%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,12,0,40,77%
Nirmal Khatri,Elected,18-May-09,In office,Uttar Pradesh,Faizabad,Indian National Congress,Male,Doctorate,"M.A. (Pol Sc.), LL.B., Ph.D.; Educated at K. S. Saket Post-Graduate College, Ayodhya, Faizabad; (Uttar Pradesh) ",61,34,0,24,98%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,33.3,0.4,179,80%
Nishikant Dubey,Elected,18-May-09,In office,Jharkhand,Godda,Bharatiya Janata Party,Male,Post Graduate,"B.A. (H), M.B.A.; Educated at Marwari College Bhagalpur (Bihar) and F.M.S. Delhi University (Delhi) ",43,62,4,579,94%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,25.9,0.8,186,66%
Nityananda Pradhan,Elected,18-May-09,In office,Orissa,Aska,Biju Janata Dal,Male,Post Graduate,"M.A., LL.B. Educated at Khallikote College, Berhampur, Ganjam, Orissa and Berhampur Law College, Berhampur",67,6,0,524,70%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,27.4,0.6,281,76%
Nripendra Nath Roy,Elected,18-May-09,In office,West Bengal,Cooch Behar,All India Forward Bloc,Male,Graduate,"B.A.; Educated at Dinhata College, Distt-Coochbehar, West Bengal",53,37,0,486,71%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.8,0.8,136,72%
O. S. Manian,Elected,18-May-09,In office,Tamil Nadu,Mayiladuthurai,All India Anna Dravida Munnetra Kazhagam,Male,Inter/ Higher Secondary,"P.U.C.; Educated at Kathir Mohaitheen College, Athirampattinam",58,34,0,20,61%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.2,0.2,262,73%
Om Prakash Yadav,Elected,18-May-09,In office,Bihar,Siwan,Independent,Male,Graduate,"B.Sc.; Educated at D.A.V. College, Siwan, Bihar",50,25,9,286,71%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.8,0.5,236,87%
P. Balram,Elected,18-May-09,In office,Andhra Pradesh,Mahabubabad,Indian National Congress,Male,Graduate,"B.A.; Educated at Andhra University, Hyderabad",48,10,0,429,68%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,15.2,0.4,258,70%
P. C. Mohan,Elected,18-May-09,In office,Karnataka,Bangalore Central,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Educated at Vijiya College,49,3,0,171,73%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,14.5,0.2,244,70%
P. Jaya Prada Nahata,Elected,18-May-09,In office,Uttar Pradesh,Rampur,Independent,Female,Graduate,"B.A.; Educated at Rajalakshmi Women`s College, Rajahmundry, East Godavari District (Andhra Pradesh) ",50,19,0,366,32%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,33.3,0.4,179,80%
P. K. Biju,Elected,18-May-09,In office,Kerala,Alathur,Communist Party of India (Marxist),Male,Post Graduate,"M.Sc. (Polymer Chemistry); Educated at School of Chemical Sciences, Mahatama Gandhi University, Kottayam, Kerala",38,66,0,317,84%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,50.7,1.1,300,84%
P. Karunakaran,Elected,18-May-09,In office,Kerala,Kasaragod,Communist Party of India (Marxist),Male,Post Graduate,"M.A.; Educated at M.A. College, Kothamangalam",67,71,0,374,73%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,50.7,1.1,300,84%
P. Kumar,Elected,18-May-09,In office,Tamil Nadu,Tiruchirappalli,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,"B.Sc., B.L., Educated at Govt. Law College, Tiruchirappalli",41,49,0,367,85%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.2,0.2,262,73%
P. Lingam,Elected,18-May-09,In office,Tamil Nadu,Tenkasi,Communist Party of India,Male,Graduate,"B.A. (History); Educated at Madurai Kamarajar University, Madurai, Tamil Nadu",46,58,0,261,95%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.2,0.2,262,73%
P. T. Thomas,Elected,18-May-09,In office,Kerala,Idukki,Indian National Congress,Male,Post Graduate,"M.A. (History), LL.B.; Educated at (i) St. Georges High School Parathode, Idukki; (ii) Mar Ivanios College Thiruvananthapuram; (iii) Newman College, Thodupuzha, Idukki; (iv) Maharajas College Ernakulam; (V) Government Law College, Kozhikode; and (vi) Gove",61,109,8,339,100%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,50.7,1.1,300,84%
P. Venugopal,Elected,18-May-09,In office,Tamil Nadu,Tiruvallur,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,"M.B.B.S.; Educated at Stanley Medical College, Chennai, Tamil Nadu",60,25,0,222,87%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.2,0.2,262,73%
P. Viswanathan,Elected,18-May-09,In office,Tamil Nadu,Kancheepuram,Indian National Congress,Male,Graduate,"B.A. (Economics); Educated at Periyar Arts College, Cuddalore, Madras University, Tamil Nadu",48,24,0,462,85%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.2,0.2,262,73%
P.C. Chacko,Elected,18-May-09,In office,Kerala,Thrissur,Indian National Congress,Male,Post Graduate,"B.Sc. (Geology), M.A. (Public Admn.); Educated at Mar Ivanios College and University College, Trivandrum, Madural Kamaraj University",65,19,0,22,90%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,50.7,1.1,300,84%
P.C. Gaddigoudar,Elected,18-May-09,In office,Karnataka,Bagalkot,Bharatiya Janata Party,Male,Graduate,"B.A., LLB; Educated at Basaveshwar Arts College, Bagalkot and Raja Lokhamagouda College, Belgaum",61,7,0,256,78%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,14.5,0.2,244,70%
P.L. Punia,Elected,18-May-09,In office,Uttar Pradesh,Barabanki,Indian National Congress,Male,Doctorate,"M.A., Ph.D.; Educated at Punjab University, Chandigarh and Lucknow University, Lucknow, Uttar Pradesh",67,196,9,438,98%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,33.3,0.4,179,80%
P.R. Natarajan,Elected,18-May-09,In office,Tamil Nadu,Coimbatore,Communist Party of India (Marxist),Male,Under Graduate,B.A (Incomplete); Educated at Madras University,61,24,0,253,87%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.2,0.2,262,73%
Paban Singh Ghatowar,Elected,18-May-09,In office,Assam,Dibrugarh,Indian National Congress,Male,Graduate,"B.A.; Educated at Gauhati University, Guwahati, Assam; Industrial Relations Training (U.K.), 1975",61,9,0,18,91%,"This MP was appointed a minister in July, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 25th March, 2011."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",15.8,0.4,119,77%,8.2,0.2,31,81%
Padamsinha Bajirao Patil,Elected,18-May-09,In office,Maharashtra,Osmanabad,Nationalist Congress Party,Male,Graduate,"M.B.B.S.; Educated B.J. Medical College, Pune, Maharashtra",72,2,0,141,55%,Complete attendance for this MP is not available," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,21.1,1.2,356,74%
Pakauri Lal,Elected,18-May-09,In office,Uttar Pradesh,Robertsganj,Samajwadi Party,Male,Under Matric,,60,18,0,61,86%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,33.3,0.4,179,80%
Palaniappan Chidambaram,Elected,18-May-09,In office,Tamil Nadu,Sivaganga,Indian National Congress,Male,Post Graduate,"B.Sc., B.L., M.B.A.; Educated at Madras University, Chennai, Tamil Nadu and Harvard University, Boston, Massachusetts (U.S.A.) ",66,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Paramjit Kaur Gulshan,Elected,18-May-09,In office,Punjab,Faridkot,Shiromani Akali Dal,Female,Post Graduate,"M.A. (Economics), M.A. (Sociology), B. Ed.; Educated at Punjab University, Chandigarh and Guru Nanak Dev University, Amritsar (Punjab) ",63,21,0,75,81%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,19,0.6,127,78%
Partap Singh Bajwa,Elected,18-May-09,In office,Punjab,Gurdaspur,Indian National Congress,Male,Graduate,"B.A.; Educated at DAV College, Chandigarh, Punjab",55,35,1,274,84%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,19,0.6,127,78%
Pashupati Nath Singh,Elected,18-May-09,In office,Jharkhand,Dhanbad,Bharatiya Janata Party,Male,Graduate,B.Sc.,63,19,0,192,90%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,25.9,0.8,186,66%
Pawan Kumar Bansal,Elected,18-May-09,In office,Chandigarh,Chandigarh,Indian National Congress,Male,Graduate,"B.Sc., LL.B.; Educated at Yadavindra Public School, Patiala Government College, Chandigarh; and Department of Law, Panjab University, Chandigarh",64,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pinaki Misra,Elected,18-May-09,In office,Orissa,Puri,Biju Janata Dal,Male,Graduate,"B.A. (Hist.) Hons., LL.B.; Educated at St. Xavier`s School, Delhi, St. Stephen`s College and Faculty of Law, Delhi University",52,15,0,19,76%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,27.4,0.6,281,76%
Poonamben Veljibhai Jat,Elected,18-May-09,In office,Gujarat,Kachchh,Bharatiya Janata Party,Female,Inter/ Higher Secondary,"Educated at Somaiya College, Mumbai",41,20,0,77,88%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,30.1,1,276,79%
Prabha Kishore Taviad,Elected,18-May-09,In office,Gujarat,Dahod,Indian National Congress,Female,Post Graduate,"M.D., D.G.O.; Educated at B.J. Medical College, Ahmedabad, Gujarat",58,24,0,4,99%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,30.1,1,276,79%
Prabhakar Ponnam,Elected,18-May-09,In office,Andhra Pradesh,Karimnagar,Indian National Congress,Male,Post Graduate,"M.A., LL.B.; Educated at Osmania University, Hyderabad, Andhra Pradesh",45,35,0,678,85%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,15.2,0.4,258,70%
Prabhatsinh Pratapsinh Chauhan,Elected,18-May-09,In office,Gujarat,Panchmahal,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Educated at Shri K.K. High School, Vejalpur, Tel. Kalol, Distt. Panchmahal, Gujarat",71,1,0,140,86%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,30.1,1,276,79%
Prabodh Panda,Elected,18-May-09,In office,West Bengal,Medinipur,Communist Party of India,Male,Graduate,"B.A.; Educated at Dantan Bhattar College, Calcutta University, Dantan (West Bengal) ",66,123,1,473,90%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.8,0.8,136,72%
Pradeep Kumar Jain Aditya,Elected,18-May-09,In office,Uttar Pradesh,Jhansi,Indian National Congress,Male,Post Graduate,"M.A., M.Com., L.L.B.; Bundalkhand University",50,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pradeep Kumar Majhi,Elected,18-May-09,In office,Orissa,Nabarangpur,Indian National Congress,Male,Graduate,"B.A. (Eco), Advanced diploma in Computer Application, e-commerce; Educated at Panabeda High School Chandahandi, B.J.B. College BBSR, V.D. College Jeypone and NIIT Connought Place, New Delhi",36,9,0,787,61%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,27.4,0.6,281,76%
Pradeep Kumar Singh,Elected,18-May-09,In office,Bihar,Araria,Bharatiya Janata Party,Male,Matric,"Bihar School Examination Board, Patna",47,6,0,89,72%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.8,0.5,236,87%
Pradeep Tamta,Elected,18-May-09,In office,Uttarakhand,Almora,Indian National Congress,Male,Post Graduate,"M.A, LL.B and B.Ed.; Educated at Kumaon University, Nainital, Uttarakhand",54,11,3,2,95%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,38.7,4.6,78,81%
Praful Manoharbhai Patel,Elected,18-May-09,In office,Maharashtra,Bhandara-Gondiya,Nationalist Congress Party,Male,Graduate,"B.Com.; Educated at University of Bombay, Mumbai, Maharashtra",55,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pralhad Venkatesh Joshi,Elected,18-May-09,In office,Karnataka,Dharwad,Bharatiya Janata Party,Male,Graduate,"B.A.; Educated at K.S. Arts College, Hubli",49,51,0,474,78%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,14.5,0.2,244,70%
