MP name,Nature of membership,Start of term,End of term,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Specific,Common,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
Khatgaonkar Patil Bhaskarrao Bapurao,Elected,18-May-09,In office,Maharashtra,Nanded,Indian National Congress,Male,Graduate,"B.E. (Mech.); Educated at Osmania University, Hyderabad, Andhra Pradesh",68,4,0,605,74%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,21.1,1.2,356,74%
Khiladi Lal Bairwa,Elected,18-May-09,In office,Rajasthan,Karauli-Dholpur,Indian National Congress,Male,Graduate,"B.A.; Educated at Hindi Vishwavidyalaya Allahabad, Uttar Pradesh",48,19,0,117,93%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,37.3,0.8,208,88%
Killi Krupa Rani,Elected,18-May-09,In office,Andhra Pradesh,Srikakulam,Indian National Congress,Female,Graduate,"M.B.B.S.; Educated at Andhra Medical College, Visakhapatanam, Andhra Pradesh",46,18,0,337,89%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,15.2,0.4,258,70%
Kirit Premjibhai Solanki,Elected,18-May-09,In office,Gujarat,Ahmedabad West,Bharatiya Janata Party,Male,Post Graduate,"M.B.B.S., M.S. and F.I.C.S.; Educated at (i) Smt. N.H.L. Municipal Medial College and K.M. School of Post Graduate Medicine and Research, Sheth V.S. General Hospital , Ahmedabad; (ii) B.J. Medical College and Civil Hospital, Ahmedabad; and (iii) Fellow of",62,122,9,356,93%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,30.1,1,276,79%
Kirodilal Meena,Elected,18-May-09,In office,Rajasthan,Dausa,Independent,Male,Graduate,"M.B.B.S.; Educated at S.P. Medical College, Bikaner, Rajasthan",60,34,0,446,93%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,37.3,0.8,208,88%
Kirti (Jha) Azad,Elected,18-May-09,In office,Bihar,Darbhanga,Bharatiya Janata Party,Male,Graduate,"B.A. (Hons.) History; Educated at St. Stephen's College, University of Delhi, Delhi",53,24,0,185,93%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.8,0.5,236,87%
Kishanbhai Vestabhai Patel,Elected,18-May-09,In office,Gujarat,Valsad,Indian National Congress,Male,Inter/ Higher Secondary,,48,8,0,530,85%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,30.1,1,276,79%
Komatireddy Raj Gopal Reddy,Elected,18-May-09,In office,Andhra Pradesh,Bhongir,Indian National Congress,Male,Graduate,B.A.; Osmania University,45,0,0,158,62%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,15.2,0.4,258,70%
Konakalla Narayana Rao,Elected,18-May-09,In office,Andhra Pradesh,Machilipatnam,Telugu Desam Party,Male,Inter/ Higher Secondary,,62,3,0,11,77%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,15.2,0.4,258,70%
Krishna Tirath,Elected,18-May-09,In office,Delhi,North West Delhi,Indian National Congress,Female,Post Graduate,"M.A., B.Ed.; Educated at University of Delhi and C.I.E., University of Delhi",57,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kristappa Nimmala,Elected,18-May-09,In office,Andhra Pradesh,Hindupur,Telugu Desam Party,Male,Graduate,"B.Com.; Educated at Osmania College, Kurnool",55,7,0,23,82%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,15.2,0.4,258,70%
Kuldeep Bishnoi,Elected,22-Nov-11,In office,Haryana,Hisar,Haryana Janhit Congress,Male,Graduate,"BA,  Punjab University, Chandigarh",43,3,0,50,54%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",9.7,0.2,71,77%,3.9,0.1,71,69%
Kumbakudi Sudhakaran,Elected,18-May-09,In office,Kerala,Kannur,Indian National Congress,Male,Post Graduate,"M.A. (History); Educated at Govt. Brennen College, Telecherry",64,9,0,235,64%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,50.7,1.1,300,84%
Kunwarjibhai Mohanbhai Bavaliya,Elected,18-May-09,In office,Gujarat,Rajkot,Indian National Congress,Male,Graduate,"B.Sc., B.Ed.; Educated at Saurashtra University and Gujarat University, Gujarat",57,5,0,275,69%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,30.1,1,276,79%
Lakshmi Panabaka,Elected,18-May-09,In office,Andhra Pradesh,Bapatla,Indian National Congress,Female,Post Graduate,"M.A.; Educated at Andhra University, Vishakhapatnam (Andhra Pradesh) ",53,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lal Chand Kataria,Elected,18-May-09,In office,Rajasthan,Jaipur Rural,Indian National Congress,Male,Inter/ Higher Secondary,Educated at a Private Institute.,44,6,0,238,92%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,37.3,0.8,208,88%
Lal Ji Tandon,Elected,18-May-09,In office,Uttar Pradesh,Lucknow,Bharatiya Janata Party,Male,Graduate,,77,9,0,71,77%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,33.3,0.4,179,80%
